"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-October-2016 00:00","18.900","71.390","14.030","54.750"
"Prentiss","01-October-2016 01:00","18.510","63.630","20.550","80.200"
"Prentiss","01-October-2016 02:00","19.160","65.910","20.020","71.380"
"Prentiss","01-October-2016 03:00","16.620","62.490","16.080","68.240"
"Prentiss","01-October-2016 04:00","16.310","80.300","15.480","73.960"
"Prentiss","01-October-2016 05:00","19.590","65.940","18.710","69.220"
"Prentiss","01-October-2016 06:00","15.010","85.700","20.100","81.400"
"Prentiss","01-October-2016 07:00","19.240","88.800","17.730","86.400"
"Prentiss","01-October-2016 08:00","23.150","94.100","26.010","98.500"
"Prentiss","01-October-2016 09:00","27.200","99.600","22.960","97.800"
"Prentiss","01-October-2016 10:00","24.520","108.600","24.090","100.800"
"Prentiss","01-October-2016 11:00","4.647","141.900","17.220","119.100"
"Prentiss","01-October-2016 12:00","8.190","79.560","7.447","73.310"
"Prentiss","01-October-2016 13:00","9.130","70.700","7.766","69.430"
"Prentiss","01-October-2016 14:00","8.890","61.670","10.240","65.100"
"Prentiss","01-October-2016 15:00","12.670","94.200","12.600","92.900"
"Prentiss","01-October-2016 16:00","9.160","119.700","10.830","103.800"
"Prentiss","01-October-2016 17:00","5.356","135.700","5.308","128.300"
"Prentiss","01-October-2016 18:00","4.307","254.300","5.621","162.300"
"Prentiss","01-October-2016 19:00","6.791","307.200","6.583","304.900"
"Prentiss","01-October-2016 20:00","10.280","304.800","9.300","319.200"
"Prentiss","01-October-2016 21:00","12.190","283.600","9.420","324.000"
"Prentiss","01-October-2016 22:00","34.150","306.500","21.400","300.000"
"Prentiss","01-October-2016 23:00","21.750","317.000","29.510","314.700"
"Prentiss","02-October-2016 00:00","14.460","289.600","17.440","313.000"
"Prentiss","02-October-2016 01:00","13.560","285.200","15.090","283.400"
"Prentiss","02-October-2016 02:00","12.000","279.300","12.260","278.700"
"Prentiss","02-October-2016 03:00","13.430","294.800","12.280","278.100"
"Prentiss","02-October-2016 04:00","22.250","305.900","16.800","295.600"
"Prentiss","02-October-2016 05:00","10.730","283.300","14.570","294.600"
"Prentiss","02-October-2016 06:00","10.210","271.100","9.820","256.200"
"Prentiss","02-October-2016 07:00","12.040","280.900","12.420","281.200"
"Prentiss","02-October-2016 08:00","4.364","257.400","9.150","275.300"
"Prentiss","02-October-2016 09:00","5.454","242.200","4.944","235.000"
"Prentiss","02-October-2016 10:00","6.712","246.200","6.950","247.900"
"Prentiss","02-October-2016 11:00","5.046","192.500","5.660","235.700"
"Prentiss","02-October-2016 12:00","7.472","153.200","6.084","161.500"
"Prentiss","02-October-2016 13:00","8.070","162.600","9.540","167.800"
"Prentiss","02-October-2016 14:00","7.809","168.400","7.915","178.100"
"Prentiss","02-October-2016 15:00","12.200","109.700","10.450","122.000"
"Prentiss","02-October-2016 16:00","16.520","116.100","14.590","114.400"
"Prentiss","02-October-2016 17:00","10.190","118.700","13.880","114.600"
"Prentiss","02-October-2016 18:00","13.260","144.200","12.230","136.300"
"Prentiss","02-October-2016 19:00","8.970","98.800","12.810","138.600"
"Prentiss","02-October-2016 20:00","12.360","154.900","11.540","144.600"
"Prentiss","02-October-2016 21:00","7.061","119.700","8.250","145.700"
"Prentiss","02-October-2016 22:00","15.090","167.200","9.910","157.800"
"Prentiss","02-October-2016 23:00","15.790","174.800","15.560","170.700"
