"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (�)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (�)"
"Prentiss","01-December-2017 00:00","15.420","266.200","13.560","259.700"
"Prentiss","01-December-2017 01:00","14.000","274.700","14.580","269.900"
"Prentiss","01-December-2017 02:00","13.750","263.200","14.200","268.200"
"Prentiss","01-December-2017 03:00","12.130","270.200","13.200","263.700"
"Prentiss","01-December-2017 04:00","12.180","274.800","12.720","266.600"
"Prentiss","01-December-2017 05:00","5.866","182.700","5.850","270.800"
"Prentiss","01-December-2017 06:00","17.260","213.900","12.590","209.000"
"Prentiss","01-December-2017 07:00","15.560","200.200","15.650","207.600"
"Prentiss","01-December-2017 08:00","15.820","203.400","14.580","202.300"
"Prentiss","01-December-2017 09:00","15.430","200.500","15.940","203.300"
"Prentiss","01-December-2017 10:00","16.650","205.400","15.290","203.700"
"Prentiss","01-December-2017 11:00","17.090","213.400","17.690","210.100"
"Prentiss","01-December-2017 12:00","14.290","207.600","18.240","221.800"
"Prentiss","01-December-2017 13:00","15.950","214.000","15.880","223.000"
"Prentiss","01-December-2017 14:00","20.970","229.200","18.970","224.100"
"Prentiss","01-December-2017 15:00","18.580","241.800","19.750","234.000"
"Prentiss","01-December-2017 16:00","6.165","246.600","10.240","245.700"
"Prentiss","01-December-2017 17:00","11.780","203.200","12.490","209.800"
"Prentiss","01-December-2017 18:00","14.660","200.500","13.860","202.600"
"Prentiss","01-December-2017 19:00","17.150","242.000","17.480","223.800"
"Prentiss","01-December-2017 20:00","17.560","255.700","18.300","254.100"
"Prentiss","01-December-2017 21:00","24.240","321.800","18.930","268.500"
"Prentiss","01-December-2017 22:00","10.340","316.000","15.130","322.100"
"Prentiss","01-December-2017 23:00","8.620","306.600","11.760","317.200"
"Prentiss","02-December-2017 00:00","9.450","280.900","10.100","278.600"
"Prentiss","02-December-2017 01:00","8.650","274.900","8.050","278.200"
"Prentiss","02-December-2017 02:00","9.750","252.000","9.320","275.200"
"Prentiss","02-December-2017 03:00","11.650","235.100","7.877","244.700"
"Prentiss","02-December-2017 04:00","9.520","258.800","10.760","240.400"
"Prentiss","02-December-2017 05:00","7.153","309.500","8.750","251.300"
"Prentiss","02-December-2017 06:00","3.212","18.180","3.356","306.100"
"Prentiss","02-December-2017 07:00","4.873","59.690","3.753","49.470"
"Prentiss","02-December-2017 08:00","9.800","88.800","7.948","82.300"
"Prentiss","02-December-2017 09:00","9.700","266.400","9.040","342.900"
"Prentiss","02-December-2017 10:00","7.494","32.920","8.030","357.100"
"Prentiss","02-December-2017 11:00","11.080","33.040","9.260","36.750"
"Prentiss","02-December-2017 12:00","11.760","57.190","11.770","58.150"
"Prentiss","02-December-2017 13:00","5.593","79.150","8.070","68.260"
"Prentiss","02-December-2017 14:00","9.890","329.500","10.340","340.700"
"Prentiss","02-December-2017 15:00","0.471","285.600","4.448","312.000"
"Prentiss","02-December-2017 16:00","3.485","125.800","3.740","156.300"
"Prentiss","02-December-2017 17:00","2.814","153.000","1.685","164.000"
"Prentiss","02-December-2017 18:00","7.835","179.400","4.835","164.900"
"Prentiss","02-December-2017 19:00","4.287","203.100","7.049","184.700"
"Prentiss","02-December-2017 20:00","11.020","207.600","10.280","200.200"
"Prentiss","02-December-2017 21:00","8.090","219.500","9.560","209.100"
"Prentiss","02-December-2017 22:00","16.350","219.100","10.980","222.000"
"Prentiss","02-December-2017 23:00","12.720","215.700","15.390","215.100"
"Prentiss","03-December-2017 00:00","15.680","198.700","13.320","205.500"
"Prentiss","03-December-2017 01:00","11.020","194.200","13.380","195.900"
"Prentiss","03-December-2017 02:00","5.165","259.000","7.885","200.500"
"Prentiss","03-December-2017 03:00","2.600","339.100","3.350","235.300"
"Prentiss","03-December-2017 04:00","3.029","269.000","5.197","248.900"
"Prentiss","03-December-2017 05:00","8.660","193.300","8.340","209.000"
"Prentiss","03-December-2017 06:00","11.600","303.700","9.840","235.200"
"Prentiss","03-December-2017 07:00","8.120","301.900","8.860","312.200"
"Prentiss","03-December-2017 08:00","10.680","293.100","9.970","296.900"
"Prentiss","03-December-2017 09:00","11.010","333.600","10.030","308.900"
"Prentiss","03-December-2017 10:00","16.790","324.500","16.100","344.100"
"Prentiss","03-December-2017 11:00","15.360","310.900","14.850","316.200"
"Prentiss","03-December-2017 12:00","10.730","295.300","13.560","304.600"
"Prentiss","03-December-2017 13:00","12.070","280.500","12.070","286.900"
"Prentiss","03-December-2017 14:00","13.690","270.400","12.830","278.000"
"Prentiss","03-December-2017 15:00","14.400","277.500","14.750","269.600"
"Prentiss","03-December-2017 16:00","11.810","279.100","13.000","278.600"
"Prentiss","03-December-2017 17:00","11.130","276.800","11.930","288.800"
"Prentiss","03-December-2017 18:00","11.220","274.900","11.810","272.000"
"Prentiss","03-December-2017 19:00","12.650","278.900","11.820","276.300"
"Prentiss","03-December-2017 20:00","12.320","271.900","12.390","272.300"
"Prentiss","03-December-2017 21:00","12.430","268.100","12.810","272.500"
"Prentiss","03-December-2017 22:00","11.450","255.600","12.010","265.100"
"Prentiss","03-December-2017 23:00","16.010","253.100","13.380","257.400"
"Prentiss","04-December-2017 00:00","15.760","254.000","14.900","254.400"
"Prentiss","04-December-2017 01:00","13.740","267.600","16.600","256.500"
"Prentiss","04-December-2017 02:00","12.510","273.100","15.420","266.900"
"Prentiss","04-December-2017 03:00","11.350","279.300","11.540","275.400"
"Prentiss","04-December-2017 04:00","11.300","284.100","12.790","281.600"
"Prentiss","04-December-2017 05:00","13.390","294.500","12.630","289.800"
"Prentiss","04-December-2017 06:00","14.400","293.200","13.670","291.700"
"Prentiss","04-December-2017 07:00","13.690","288.900","13.650","291.700"
"Prentiss","04-December-2017 08:00","12.600","287.100","13.170","286.200"
"Prentiss","04-December-2017 09:00","11.890","268.400","10.700","274.100"
"Prentiss","04-December-2017 10:00","10.500","262.600","10.110","269.400"
"Prentiss","04-December-2017 11:00","12.010","265.200","11.770","265.100"
"Prentiss","04-December-2017 12:00","11.850","270.500","12.450","265.700"
"Prentiss","04-December-2017 13:00","14.130","263.000","13.930","270.700"
"Prentiss","04-December-2017 14:00","13.900","259.100","14.310","258.400"
"Prentiss","04-December-2017 15:00","17.920","263.700","16.980","260.800"
"Prentiss","04-December-2017 16:00","16.450","288.000","16.980","280.800"
"Prentiss","04-December-2017 17:00","10.580","272.800","14.660","280.300"
"Prentiss","04-December-2017 18:00","13.700","239.800","11.840","244.300"
"Prentiss","04-December-2017 19:00","9.200","252.600","10.060","242.900"
"Prentiss","04-December-2017 20:00","15.860","232.800","14.770","233.100"
"Prentiss","04-December-2017 21:00","16.920","264.800","15.500","244.500"
"Prentiss","04-December-2017 22:00","14.470","289.800","14.880","286.100"
"Prentiss","04-December-2017 23:00","12.660","283.600","13.120","290.100"
"Prentiss","05-December-2017 00:00","15.900","281.900","13.820","280.100"
"Prentiss","05-December-2017 01:00","18.580","289.400","17.430","286.200"
"Prentiss","05-December-2017 02:00","18.880","310.400","18.830","302.100"
"Prentiss","05-December-2017 03:00","27.340","312.200","22.950","311.800"
"Prentiss","05-December-2017 04:00","33.610","316.400","24.450",""
"Prentiss","05-December-2017 05:00","21.100","318.100","25.940","313.800"
"Prentiss","05-December-2017 06:00","17.170","308.900","18.250","314.800"
"Prentiss","05-December-2017 07:00","20.020","313.500","18.400","311.300"
"Prentiss","05-December-2017 08:00","30.040","320.500","25.760","320.600"
"Prentiss","05-December-2017 09:00","26.640","318.200","28.810","321.800"
"Prentiss","05-December-2017 10:00","30.210","310.600","26.120","313.900"
"Prentiss","05-December-2017 11:00","27.620","311.700","28.460","312.600"
"Prentiss","05-December-2017 12:00","35.460","319.800","29.140","316.300"
"Prentiss","05-December-2017 13:00","38.140","323.500","38.830","323.000"
"Prentiss","05-December-2017 14:00","40.360","323.600","38.100","322.300"
"Prentiss","05-December-2017 15:00","35.430","325.300","35.200","324.600"
"Prentiss","05-December-2017 16:00","37.830","325.300","35.580","323.000"
"Prentiss","05-December-2017 17:00","25.440","318.400","31.500","322.500"
"Prentiss","05-December-2017 18:00","17.890","306.600","22.400","315.400"
"Prentiss","05-December-2017 19:00","19.620","304.100","18.110","300.100"
"Prentiss","05-December-2017 20:00","15.710","295.900","19.100","305.500"
"Prentiss","05-December-2017 21:00","17.660","293.700","16.680","290.000"
"Prentiss","05-December-2017 22:00","19.410","308.400","17.300","300.200"
"Prentiss","05-December-2017 23:00","14.050","295.700","17.950","302.400"
"Prentiss","06-December-2017 00:00","15.250","289.800","14.460","289.000"
"Prentiss","06-December-2017 01:00","17.090","300.600","15.700","297.300"
"Prentiss","06-December-2017 02:00","15.450","294.100","15.750","296.600"
"Prentiss","06-December-2017 03:00","14.320","278.400","14.480","287.000"
"Prentiss","06-December-2017 04:00","14.970","281.200","14.960","284.600"
"Prentiss","06-December-2017 05:00","13.770","290.000","14.620","287.000"
"Prentiss","06-December-2017 06:00","14.500","283.500","14.130","287.100"
"Prentiss","06-December-2017 07:00","14.750","274.400","15.030","276.300"
"Prentiss","06-December-2017 08:00","17.250","271.300","16.400","273.800"
"Prentiss","06-December-2017 09:00","15.490","268.600","16.520","273.400"
"Prentiss","06-December-2017 10:00","13.750","272.600","14.980","268.400"
"Prentiss","06-December-2017 11:00","13.700","262.300","13.790","268.500"
"Prentiss","06-December-2017 12:00","13.920","250.000","13.760","258.400"
"Prentiss","06-December-2017 13:00","15.550","244.900","16.350","246.400"
"Prentiss","06-December-2017 14:00","14.670","250.800","15.020","246.000"
"Prentiss","06-December-2017 15:00","14.730","249.400","14.670","252.200"
"Prentiss","06-December-2017 16:00","16.270","234.500","16.620","238.200"
"Prentiss","06-December-2017 17:00","11.550","250.600","13.820","243.800"
"Prentiss","06-December-2017 18:00","19.080","271.400","15.060","263.100"
"Prentiss","06-December-2017 19:00","14.400","291.300","17.460","279.700"
"Prentiss","06-December-2017 20:00","15.880","275.900","15.760","280.500"
"Prentiss","06-December-2017 21:00","18.160","286.600","19.020","282.400"
"Prentiss","06-December-2017 22:00","17.430","279.100","17.480","282.300"
"Prentiss","06-December-2017 23:00","21.500","282.300","18.760","279.600"
"Prentiss","07-December-2017 00:00","19.170","281.400","20.290","282.400"
"Prentiss","07-December-2017 01:00","18.770","284.600","18.970","284.600"
"Prentiss","07-December-2017 02:00","17.940","280.200","18.010","282.000"
"Prentiss","07-December-2017 03:00","15.740","273.200","16.130","276.400"
"Prentiss","07-December-2017 04:00","17.570","273.900","17.330","272.100"
"Prentiss","07-December-2017 05:00","20.270","279.600","18.500","279.000"
"Prentiss","07-December-2017 06:00","19.660","285.600","19.470","282.100"
"Prentiss","07-December-2017 07:00","18.410","279.800","19.480","284.900"
"Prentiss","07-December-2017 08:00","20.440","288.100","18.090","281.800"
"Prentiss","07-December-2017 09:00","20.610","286.100","18.760","288.200"
